name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,map_url,status_hours
Al qaswa halal restaurant,"6256+XF2, Pokhara 33700",,,,restaurant,Grid Search,,,28.2097585,83.9679102,"https://www.google.com/maps/place/Al+qaswa+halal+restaurant/@28.2097585,83.9679102,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x3995950029ba19c9:0x854445f823ba4f8c!8m2!3d28.2098927!4d84.0111299!15sCgpyZXN0YXVyYW50kgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11z4th0bz5?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",
Open House Restro And Lounge bar,"Lakeside Rd, Pokhara 33700",openhousepokhara.com,https://www.openhousepokhara.com,061-590999,restaurant,Grid Search,,,28.2186631,83.9399757,"https://www.google.com/maps/place/Open+House+Restro+And+Lounge+bar/@28.2186631,83.9399757,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x3995944f304a3ba9:0x4fa76ae625050094!8m2!3d28.2186631!4d83.9580001!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWTE5rbHlOM2xDTjA1dVdVSjNFQUXgAQD6AQUIxwcQPg!16s%2Fg%2F11g0hmq_fv?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",
Chandan Tandoori Restaurant,"Chipledhunga, Siddharthachowk Pokhara, Nepal, 33700",facebook.com,https://www.facebook.com,061-581747,restaurant,Grid Search,,,28.2186631,83.9399757,"https://www.google.com/maps/place/Chandan+Tandoori+Restaurant/@28.2186631,83.9399757,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595b4d19c24fd:0x80c310c81ccba4c5!8m2!3d28.224447!4d83.9852911!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11gjtbpvwg?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 8 AM Sat 
local restaurant,"5XXW+W95, Maha Pucha Marg, Pokhara 33700",,,982-6699340,restaurant,Grid Search,,,28.224447,83.9672667,"https://www.google.com/maps/place/local+restaurant/@28.224447,83.9672667,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595003f1ec8a1:0xebb131b5b428851b!8m2!3d28.1997524!4d83.9959514!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11vpty9pgt?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Open 24 hours 
Kasaudi Restaurant,"Simalchaur, Pokhara 33700",kasaudirestaurant.blogspot.com,https://www.kasaudirestaurant.blogspot.com,961-4970965,restaurant,Grid Search,,,28.1997524,83.977927,"https://www.google.com/maps/place/Kasaudi+Restaurant/@28.1997524,83.977927,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595a96344dff3:0xb7ea09ab244320a5!8m2!3d28.2077887!4d83.9777804!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11f400487d?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 7 AM Sat 
Aarshibad Indian Restaurant lakeside 6 pokhara,"6X5P+R6P, Pokhara 33700",,,,restaurant,Grid Search,,,28.2077887,83.959756,"https://www.google.com/maps/place/Aarshibad+Indian+Restaurant+lakeside+6+pokhara/@28.2077887,83.959756,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595e913ed8d8f:0xbfe584b0563c47e6!8m2!3d28.2095831!4d83.9855674!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJFYlU1MVprdEJFQUXgAQD6AQQIABAN!16s%2Fg%2F11hzqgmfdf?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 8 AM Sat 
Sudarshan Restaurant,Pokhara 33700,,,984-1674878,restaurant,Grid Search,,,28.2127613,83.9583994,"https://www.google.com/maps/place/Sudarshan+Restaurant/@28.2127613,83.9583994,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595000791beaf:0xa0ba8c0e55bc7300!8m2!3d28.2084536!4d83.9844332!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJXZERkSU1UQlJSUkFC4AEA-gEECAAQKg!16s%2Fg%2F11vm5rx_8z?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Open 24 hours 
Classic Restaurant,"6243+93Q, Singapore Tole, Pokhara 33700",,,981-5166767,restaurant,Grid Search,,,28.2084536,83.9664088,"https://www.google.com/maps/place/Classic+Restaurant/@28.2084536,83.9664088,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595d7524a4d55:0x11fbb3fb216e3142!8m2!3d28.2059714!4d84.0027422!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11lksfx7d6?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closes soon · 12 AM · Opens 6 AM Sat 
Dipa Mo:Mo Restaurant,"6X5P+5W5, Pokhara 33700",,,,restaurant,Grid Search,,,28.2059714,83.9847178,"https://www.google.com/maps/place/Dipa+Mo:Mo+Restaurant/@28.2059714,83.9847178,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595963abaaad7:0x142b8d1e3168ab20!8m2!3d28.20789!4d83.9873722!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11flmb0p_l?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 7 AM Sat 
Newa Kathmandu Restaurant,"0 k.m, Pokhara",,,061-589168,restaurant,Grid Search,,,28.20789,83.9693478,"https://www.google.com/maps/place/Newa+Kathmandu+Restaurant/@28.20789,83.9693478,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595aac0575397:0x349739cfd0ad0384!8m2!3d28.2125211!4d83.9758746!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5TWDB0SFpuWkJSUkFC4AEA-gEECAAQJQ!16s%2Fg%2F11hd1qslgz?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 7:30 AM Sat 
